company,degrees,description,majors,positions
Arconic (previously Alcoa),"Bachelors, Masters","Arconic, Alcoa's Value Add business, will launch in the second half of 2016 following Alcoa's separation. Arconic creates breakthrough products that shape industries. Working alongside our customers, we solve complex engineering challenges to transform the way we fly, drive, build, package and power. Through the ingenuity of our people and cutting-edge advanced manufacturing, we deliver quality, highly engineered products that ensure customer success and create shareholder value.
Arconic. Innovation, engineered.
Our Brand
The Arconic brand fuses our extraordinary heritage with the promise of an exceptional future. It represents the arc of progress and continued pursuit of advancement for customers, employees, shareholders and communities.","Chemical Engineering , Environmental Engineering , Industrial and Systems Engineering , Material Science , Mechanical Engineering ",Internship
Arista Networks,"Bachelors, Masters, PhD","Arista Networks was founded to pioneer and deliver software-driven cloud networking solutions for large data center storage and computing environments. Arista's award-winning platforms, ranging in Ethernet speeds from 10 to 100 gigabits per second, redefine scalability, agility and resilience. Arista has shipped more than 10 million cloud networking ports worldwide with CloudVision and EOS, an advanced network operating system. Committed to open standards, Arista is a founding member of the 25/50GbE consortium. Arista Networks products are available worldwide directly and through partners.","Computer Engineering & Computer Science , Computer Science , Electrical Engineering ","Full-Time, Internship"
ARM,"Bachelors, Masters, PhD","As the industry's leading supplier of microprocessor technology, ARM provides efficient, low-power chip intelligence making affordable, easy-to-use electronic innovations come to life.","Computer Engineering & Computer Science , Computer Science , Electrical Engineering ","Full-Time, Internship"
ARUP,"Bachelors, Masters, PhD","We are an independent firm of designers, planners, engineers, consultants and technical specialists offering a broad range of professional services. Through our work, we make a positive difference in the world. We shape a better world.

Founded in 1946 with an initial focus on structural engineering, Arup first came to the world's attention with the structural design of the Sydney Opera House, followed by its work on the Centre Pompidou in Paris. Arup has since grown into a truly multidisciplinary organisation. Most recently, its work for the Singapore Sports Hub has reaffirmed its reputation for delivering innovative and sustainable designs that reinvent the built environment.","Civil Engineering , Electrical Engineering , Mechanical Engineering ","Full-Time, Internship"
ASML,"Bachelors, Masters, PhD","ASML is a leading global technology company that invents, designs, manufactures and services the lithography machines that makes microchips. There is an 85% chance that the chips in your smart devices, cell phones, computers, cars are made on our machines. Our vision is to enable affordable microelectronics that improve the quality of life from USB sticks to healthcare equipment to self-driving vehicles. Our guiding principle is continuing making ever smaller, cheaper, more powerful and energy-efficient chips.","Computer Engineering & Computer Science , Computer Science , Electrical Engineering , Industrial and Systems Engineering , Material Science , Mechanical Engineering ","Full-Time, Internship"
AT&T,"Bachelors, Masters","AT&T is bringing it all together - helping people mobilize their worlds - with advanced mobile services, next-generation TV and high-speed Internet services, and smart solutions for businesses.

AT&T serves every Fortune 1000 company, as well as neighborhood businesses around the country. We offer solutions like highly secure mobile cloud and corporate network management that helps businesses in every industry serve their customers better.

AT&T is leading the way to the future - for customers, businesses and the industry. We're developing new state-of-the-art technologies like this so it's even easier for our customers to stay connected. We envision a world where everything and everyone work together seamlessly, and life is better as a result. We envision a world that works for you.
","Civil Engineering , Computer Engineering & Computer Science , Computer Science , Cybersecurity, Electrical Engineering , Environmental Engineering , Industrial and Systems Engineering , Mechanical Engineering ","Full-Time, Internship"
"Atkins North America, Inc.",Bachelors,"Atkins is one of the world's most respected design, engineering and project management firms. We build long-term trusted partnerships to create a world where lives are enriched through the implementation of our ideas",Civil Engineering ,Full-Time
Atkinson Construction,"Bachelors, Masters","Guy F. Atkinson Construction, LLC is a full-service contractor that has been building for clients in the public and private sectors since its inception in 1926. We offer a comprehensive range of project development and construction services to clients across industries and for a full spectrum of project types.

An important distinction between Atkinson and other firms is our knowledge of, and experience in, the construction of highly-engineered and complex heavy civil projects. We have built more than 50 major bridges since 1946; more than 80 of the world's largest dams; excavated some of the country's most complex mine shafts; and have constructed or expanded some of the most-traveled roadways within the western United States.",Civil Engineering ,"Full-Time, Internship"
AutoX,"Bachelors, Masters, PhD","AutoX Inc. is a start-up creating full-stack A.I. software solution (perception, planning, and control) for level-5 full-autonomy self-driving vehicles. AutoX invented a camera-first self-driving solution that costs only a tiny fraction of traditional LiDar- based approaches. We believe that autonomous driving should not be a luxury, and we are making it universally available to every citizen. 
","Computer Engineering & Computer Science , Computer Science , Electrical Engineering ",Full-Time
Bard Access Systems ,"Bachelors, Masters","To advance lives and the delivery of healthcare by profitably developing, manufacturing and marketing value-driven products which meet the quality, integrity, service, and innovation expectations of our customers while providing opportunities for our employees.  As a result, we will optimize shareholder value and be a respected worldwide health care company.","Biomedical Engineering , Chemical Engineering , Mechanical Engineering ","Full-Time, Internship"
 AECOM HUNT  & AECOM TISHMAN,"Bachelors, Masters","We are a global network of experts working with clients, communities and colleagues to develop and implement innovative solutions to the world's most complex challenges.

Delivering clean water and energy. Building iconic skyscrapers. Planning new cities. Restoring damaged environments. Connecting people and economies with roads, bridges, tunnels and transit systems. Designing parks where children play. Helping governments maintain stability and security.
We connect expertise across services, markets, and geographies to deliver transformative outcomes. Worldwide, we design, build, finance, operate and manage projects and programs that unlock opportunities, protect our environment and improve people's lives.
Imagine it. Delivered.","Civil Engineering , Electrical Engineering , Mechanical Engineering ","Full-Time, Internship"
A10 Networks,"Bachelors, Masters","A10 Networks  (NYSE: ATEN)
A10  Networks provides application delivery and security solutions that can be deployed on-premises, in the cloud or a hybrid of the two.  A10's application delivery solutions ensure that applications are highly available, accelerated and secure.  
Based in San Jose, California , A10 was founded in 2004.
Over 800 people service a global customer base from 45 offices.
More than 5,000 customers in 72 countries enjoy the benefits of A10's solutions.  
A10 has won many awards and was recently featured in Network World's  ""The Top 25 most powerful enterprise networking companies"".","Computer Engineering & Computer Science , Computer Science , Cybersecurity, Electrical Engineering ","Full-Time, Internship"
Abbott,"Bachelors, Masters","At Abbott, we're all about helping you live the best life you can through good health. We keep your heart healthy, nourish your body at every stage of life, help you feel and move better, and bring you information, medicines and breakthroughs to manage your health. Every day and around the world, we're discovering new ways to make life better.","Biomedical Engineering , Chemical Engineering , Electrical Engineering , Industrial and Systems Engineering , Mechanical Engineering ",Internship
Accenture,"Bachelors, Masters","Accenture is a global management consulting, technology services and outsourcing company.  Committed to delivering innovation, Accenture collaborates with its clients to help them become high-performance businesses and governments.  With deep industry and business process expertise, broad global resources and a proven track record, Accenture can mobilize the right people, skills and technologies to help clients improve their performance. Its home page is www.accenture.com.","Aerospace Engineering , Astronautical Engineering , Biomedical Engineering , Chemical Engineering , Civil Engineering , Computer Engineering & Computer Science , Computer Science , Cybersecurity, Electrical Engineering , Environmental Engineering , Financial Engineering, Green Technologies, Industrial and Systems Engineering , Material Science , Mechanical Engineering , Petroleum Engineering","Full-Time, Internship"
ACCO Engineered Systems,"Bachelors, Masters","Mechanical systems are the heart of buildings. They make buildings more marketable, more comfortable, and more profitable. A properly designed, installed, and maintained mechanical system conserves energy, cuts absenteeism, increases productivity, and reduces tenant turnover. It can save an owner a great deal of money.

Since 1934, owners and builders have selected ACCO Engineered Systems to design, install, and maintain more than 250,000 mechanical projects.  ACCO is an employee-owned family of companies dedicated to the design, fabrication, installation, maintenance and service of commercial and industrial HVAC, refrigeration, plumbing, process piping, and building automation systems. 

ACCO has gained a wealth of knowledge since its founding, and has grown to be the largest and most",Mechanical Engineering ,"Full-Time, Internship"
AeroVironment,"Bachelors, Masters","AeroVironment (AV) is a rapidly growing technology solutions provider focusing on leading edge unmanned aircraft systems and efficient energy systems. Named as one of the top 15 ""Cool Companies"" to work for by Fortune magazine, we are looking for creative, committed, and visionary team members who are passionate about contributing to our customers' success. Founded in 1971, AV is built upon four decades of harnessing human power to achieve breakthroughs in science, engineering, and customer productivity. AV's late founder, Dr. Paul MacCready, named by Time magazine as one of the ""greatest minds of the 20th century,"" instilled a spirit of boundless imagination that drives our organization today. Be a part of the team that has a record of breaking records. AV developed the world's highest fl","Aerospace Engineering , Computer Science , Electrical Engineering , Mechanical Engineering ","Full-Time, Internship"
AMD-Advanced Micro Devices,"Bachelors, Masters, PhD","AMD designs and integrates technology that powers millions of intelligent devices, including personal computers, game consoles and cloud servers that define the new era of surround computing.","Computer Engineering & Computer Science , Computer Science , Electrical Engineering ","Full-Time, Internship, Co-Op/Fellowship"
Amgen,"Bachelors, Masters","Amgen is committed to unlocking the potential of biology for patients suffering from serious illnesses by discovering, developing, manufacturing and delivering innovative human therapeutics. This approach begins by using tools like advanced human genetics to unravel the complexities of disease and understand the fundamentals of human biology.
Amgen focuses on areas of high unmet medical need and leverages its biologics manufacturing expertise to strive for solutions that improve health outcomes and dramatically improve people's lives. A biotechnology pioneer since 1980, Amgen has grown to be the world's largest independent biotechnology company, has reached millions of patients around the world and is developing a pipeline of medicines with breakaway potential.","Aerospace Engineering , Astronautical Engineering , Biomedical Engineering , Chemical Engineering , Civil Engineering , Computer Engineering & Computer Science , Computer Science , Cybersecurity, Electrical Engineering , Environmental Engineering , Financial Engineering, Green Technologies, Industrial and Systems Engineering , Material Science , Mechanical Engineering , Petroleum Engineering",Internship
ARAMARK,"Bachelors, Masters","ARAMARK is a leader in professional services, providing award-winning food services, facilities management, and uniform and career apparel to health care institutions, universities and school districts, stadiums and arenas, and businesses around the world. The company is recognized as the industry leader in FORTUNE magazine's ""World's Most Admired Companies,"" and as one of America's Largest Private Companies by both FORTUNE and Forbes magazines. ARAMARK seeks to responsibly address areas that matter most to our clients, customers, employees and communities by focusing on employee advocacy, environmental stewardship, health and wellness, and community involvement. 

Headquartered in Philadelphia, ARAMARK has approximately 250,000 employees serving clients in 22 countries.","Aerospace Engineering , Astronautical Engineering , Biomedical Engineering , Chemical Engineering , Civil Engineering , Computer Engineering & Computer Science , Computer Science , Cybersecurity, Electrical Engineering , Environmental Engineering , Financial Engineering, Green Technologies, Industrial and Systems Engineering , Material Science , Mechanical Engineering , Petroleum Engineering","Full-Time, Internship"
"ARCO/Murray National Construction Company, Inc.","Bachelors, Masters","ARCO is one of the fastest growing and dynamic construction companies in the nation. With offices in 11 major cities throughout the United States, ARCO is proud to be #28 on ENR's Top 100 Design/Build Companies list. As a Project Manager at ARCO, you are on the fast-track to running your own projects.  We will teach you not only the skills needed to successfully run multi-million dollar projects from concept to completion, but also, how to be a future leader of our company and industry.","Civil Engineering , Mechanical Engineering ","Full-Time, Internship, Co-Op/Fellowship"
Arconic (previously Alcoa),"Bachelors, Masters","Arconic, Alcoa's Value Add business, will launch in the second half of 2016 following Alcoa's separation. Arconic creates breakthrough products that shape industries. Working alongside our customers, we solve complex engineering challenges to transform the way we fly, drive, build, package and power. Through the ingenuity of our people and cutting-edge advanced manufacturing, we deliver quality, highly engineered products that ensure customer success and create shareholder value.
Arconic. Innovation, engineered.
Our Brand
The Arconic brand fuses our extraordinary heritage with the promise of an exceptional future. It represents the arc of progress and continued pursuit of advancement for customers, employees, shareholders and communities.","Chemical Engineering , Environmental Engineering , Industrial and Systems Engineering , Material Science , Mechanical Engineering ",Internship
Arista Networks,"Bachelors, Masters, PhD","Arista Networks was founded to pioneer and deliver software-driven cloud networking solutions for large data center storage and computing environments. Arista's award-winning platforms, ranging in Ethernet speeds from 10 to 100 gigabits per second, redefine scalability, agility and resilience. Arista has shipped more than 10 million cloud networking ports worldwide with CloudVision and EOS, an advanced network operating system. Committed to open standards, Arista is a founding member of the 25/50GbE consortium. Arista Networks products are available worldwide directly and through partners.","Computer Engineering & Computer Science , Computer Science , Electrical Engineering ","Full-Time, Internship"
ARM,"Bachelors, Masters, PhD","As the industry's leading supplier of microprocessor technology, ARM provides efficient, low-power chip intelligence making affordable, easy-to-use electronic innovations come to life.","Computer Engineering & Computer Science , Computer Science , Electrical Engineering ","Full-Time, Internship"
ARUP,"Bachelors, Masters, PhD","We are an independent firm of designers, planners, engineers, consultants and technical specialists offering a broad range of professional services. Through our work, we make a positive difference in the world. We shape a better world.

Founded in 1946 with an initial focus on structural engineering, Arup first came to the world's attention with the structural design of the Sydney Opera House, followed by its work on the Centre Pompidou in Paris. Arup has since grown into a truly multidisciplinary organisation. Most recently, its work for the Singapore Sports Hub has reaffirmed its reputation for delivering innovative and sustainable designs that reinvent the built environment.","Civil Engineering , Electrical Engineering , Mechanical Engineering ","Full-Time, Internship"
ASML,"Bachelors, Masters, PhD","ASML is a leading global technology company that invents, designs, manufactures and services the lithography machines that makes microchips. There is an 85% chance that the chips in your smart devices, cell phones, computers, cars are made on our machines. Our vision is to enable affordable microelectronics that improve the quality of life from USB sticks to healthcare equipment to self-driving vehicles. Our guiding principle is continuing making ever smaller, cheaper, more powerful and energy-efficient chips.","Computer Engineering & Computer Science , Computer Science , Electrical Engineering , Industrial and Systems Engineering , Material Science , Mechanical Engineering ","Full-Time, Internship"
AT&T,"Bachelors, Masters","AT&T is bringing it all together - helping people mobilize their worlds - with advanced mobile services, next-generation TV and high-speed Internet services, and smart solutions for businesses.

AT&T serves every Fortune 1000 company, as well as neighborhood businesses around the country. We offer solutions like highly secure mobile cloud and corporate network management that helps businesses in every industry serve their customers better.

AT&T is leading the way to the future - for customers, businesses and the industry. We're developing new state-of-the-art technologies like this so it's even easier for our customers to stay connected. We envision a world where everything and everyone work together seamlessly, and life is better as a result. We envision a world that works for you.
","Civil Engineering , Computer Engineering & Computer Science , Computer Science , Cybersecurity, Electrical Engineering , Environmental Engineering , Industrial and Systems Engineering , Mechanical Engineering ","Full-Time, Internship"
"Atkins North America, Inc.",Bachelors,"Atkins is one of the world's most respected design, engineering and project management firms. We build long-term trusted partnerships to create a world where lives are enriched through the implementation of our ideas",Civil Engineering ,Full-Time
Atkinson Construction,"Bachelors, Masters","Guy F. Atkinson Construction, LLC is a full-service contractor that has been building for clients in the public and private sectors since its inception in 1926. We offer a comprehensive range of project development and construction services to clients across industries and for a full spectrum of project types.

An important distinction between Atkinson and other firms is our knowledge of, and experience in, the construction of highly-engineered and complex heavy civil projects. We have built more than 50 major bridges since 1946; more than 80 of the world's largest dams; excavated some of the country's most complex mine shafts; and have constructed or expanded some of the most-traveled roadways within the western United States.",Civil Engineering ,"Full-Time, Internship"
AutoX,"Bachelors, Masters, PhD","AutoX Inc. is a start-up creating full-stack A.I. software solution (perception, planning, and control) for level-5 full-autonomy self-driving vehicles. AutoX invented a camera-first self-driving solution that costs only a tiny fraction of traditional LiDar- based approaches. We believe that autonomous driving should not be a luxury, and we are making it universally available to every citizen. 
","Computer Engineering & Computer Science , Computer Science , Electrical Engineering ",Full-Time
Bard Access Systems ,"Bachelors, Masters","To advance lives and the delivery of healthcare by profitably developing, manufacturing and marketing value-driven products which meet the quality, integrity, service, and innovation expectations of our customers while providing opportunities for our employees.  As a result, we will optimize shareholder value and be a respected worldwide health care company.","Biomedical Engineering , Chemical Engineering , Mechanical Engineering ","Full-Time, Internship"
 AECOM HUNT  & AECOM TISHMAN,"Bachelors, Masters","We are a global network of experts working with clients, communities and colleagues to develop and implement innovative solutions to the world's most complex challenges.

Delivering clean water and energy. Building iconic skyscrapers. Planning new cities. Restoring damaged environments. Connecting people and economies with roads, bridges, tunnels and transit systems. Designing parks where children play. Helping governments maintain stability and security.
We connect expertise across services, markets, and geographies to deliver transformative outcomes. Worldwide, we design, build, finance, operate and manage projects and programs that unlock opportunities, protect our environment and improve people's lives.
Imagine it. Delivered.","Civil Engineering , Electrical Engineering , Mechanical Engineering ","Full-Time, Internship"
A10 Networks,"Bachelors, Masters","A10 Networks  (NYSE: ATEN)
A10  Networks provides application delivery and security solutions that can be deployed on-premises, in the cloud or a hybrid of the two.  A10's application delivery solutions ensure that applications are highly available, accelerated and secure.  
Based in San Jose, California , A10 was founded in 2004.
Over 800 people service a global customer base from 45 offices.
More than 5,000 customers in 72 countries enjoy the benefits of A10's solutions.  
A10 has won many awards and was recently featured in Network World's  ""The Top 25 most powerful enterprise networking companies"".","Computer Engineering & Computer Science , Computer Science , Cybersecurity, Electrical Engineering ","Full-Time, Internship"
Abbott,"Bachelors, Masters","At Abbott, we're all about helping you live the best life you can through good health. We keep your heart healthy, nourish your body at every stage of life, help you feel and move better, and bring you information, medicines and breakthroughs to manage your health. Every day and around the world, we're discovering new ways to make life better.","Biomedical Engineering , Chemical Engineering , Electrical Engineering , Industrial and Systems Engineering , Mechanical Engineering ",Internship
Accenture,"Bachelors, Masters","Accenture is a global management consulting, technology services and outsourcing company.  Committed to delivering innovation, Accenture collaborates with its clients to help them become high-performance businesses and governments.  With deep industry and business process expertise, broad global resources and a proven track record, Accenture can mobilize the right people, skills and technologies to help clients improve their performance. Its home page is www.accenture.com.","Aerospace Engineering , Astronautical Engineering , Biomedical Engineering , Chemical Engineering , Civil Engineering , Computer Engineering & Computer Science , Computer Science , Cybersecurity, Electrical Engineering , Environmental Engineering , Financial Engineering, Green Technologies, Industrial and Systems Engineering , Material Science , Mechanical Engineering , Petroleum Engineering","Full-Time, Internship"
ACCO Engineered Systems,"Bachelors, Masters","Mechanical systems are the heart of buildings. They make buildings more marketable, more comfortable, and more profitable. A properly designed, installed, and maintained mechanical system conserves energy, cuts absenteeism, increases productivity, and reduces tenant turnover. It can save an owner a great deal of money.

Since 1934, owners and builders have selected ACCO Engineered Systems to design, install, and maintain more than 250,000 mechanical projects.  ACCO is an employee-owned family of companies dedicated to the design, fabrication, installation, maintenance and service of commercial and industrial HVAC, refrigeration, plumbing, process piping, and building automation systems. 

ACCO has gained a wealth of knowledge since its founding, and has grown to be the largest and most",Mechanical Engineering ,"Full-Time, Internship"
AeroVironment,"Bachelors, Masters","AeroVironment (AV) is a rapidly growing technology solutions provider focusing on leading edge unmanned aircraft systems and efficient energy systems. Named as one of the top 15 ""Cool Companies"" to work for by Fortune magazine, we are looking for creative, committed, and visionary team members who are passionate about contributing to our customers' success. Founded in 1971, AV is built upon four decades of harnessing human power to achieve breakthroughs in science, engineering, and customer productivity. AV's late founder, Dr. Paul MacCready, named by Time magazine as one of the ""greatest minds of the 20th century,"" instilled a spirit of boundless imagination that drives our organization today. Be a part of the team that has a record of breaking records. AV developed the world's highest fl","Aerospace Engineering , Computer Science , Electrical Engineering , Mechanical Engineering ","Full-Time, Internship"
AMD-Advanced Micro Devices,"Bachelors, Masters, PhD","AMD designs and integrates technology that powers millions of intelligent devices, including personal computers, game consoles and cloud servers that define the new era of surround computing.","Computer Engineering & Computer Science , Computer Science , Electrical Engineering ","Full-Time, Internship, Co-Op/Fellowship"
Amgen,"Bachelors, Masters","Amgen is committed to unlocking the potential of biology for patients suffering from serious illnesses by discovering, developing, manufacturing and delivering innovative human therapeutics. This approach begins by using tools like advanced human genetics to unravel the complexities of disease and understand the fundamentals of human biology.
Amgen focuses on areas of high unmet medical need and leverages its biologics manufacturing expertise to strive for solutions that improve health outcomes and dramatically improve people's lives. A biotechnology pioneer since 1980, Amgen has grown to be the world's largest independent biotechnology company, has reached millions of patients around the world and is developing a pipeline of medicines with breakaway potential.","Aerospace Engineering , Astronautical Engineering , Biomedical Engineering , Chemical Engineering , Civil Engineering , Computer Engineering & Computer Science , Computer Science , Cybersecurity, Electrical Engineering , Environmental Engineering , Financial Engineering, Green Technologies, Industrial and Systems Engineering , Material Science , Mechanical Engineering , Petroleum Engineering",Internship
ARAMARK,"Bachelors, Masters","ARAMARK is a leader in professional services, providing award-winning food services, facilities management, and uniform and career apparel to health care institutions, universities and school districts, stadiums and arenas, and businesses around the world. The company is recognized as the industry leader in FORTUNE magazine's ""World's Most Admired Companies,"" and as one of America's Largest Private Companies by both FORTUNE and Forbes magazines. ARAMARK seeks to responsibly address areas that matter most to our clients, customers, employees and communities by focusing on employee advocacy, environmental stewardship, health and wellness, and community involvement. 

Headquartered in Philadelphia, ARAMARK has approximately 250,000 employees serving clients in 22 countries.","Aerospace Engineering , Astronautical Engineering , Biomedical Engineering , Chemical Engineering , Civil Engineering , Computer Engineering & Computer Science , Computer Science , Cybersecurity, Electrical Engineering , Environmental Engineering , Financial Engineering, Green Technologies, Industrial and Systems Engineering , Material Science , Mechanical Engineering , Petroleum Engineering","Full-Time, Internship"
"ARCO/Murray National Construction Company, Inc.","Bachelors, Masters","ARCO is one of the fastest growing and dynamic construction companies in the nation. With offices in 11 major cities throughout the United States, ARCO is proud to be #28 on ENR's Top 100 Design/Build Companies list. As a Project Manager at ARCO, you are on the fast-track to running your own projects.  We will teach you not only the skills needed to successfully run multi-million dollar projects from concept to completion, but also, how to be a future leader of our company and industry.","Civil Engineering , Mechanical Engineering ","Full-Time, Internship, Co-Op/Fellowship"
Arconic (previously Alcoa),"Bachelors, Masters","Arconic, Alcoa's Value Add business, will launch in the second half of 2016 following Alcoa's separation. Arconic creates breakthrough products that shape industries. Working alongside our customers, we solve complex engineering challenges to transform the way we fly, drive, build, package and power. Through the ingenuity of our people and cutting-edge advanced manufacturing, we deliver quality, highly engineered products that ensure customer success and create shareholder value.
Arconic. Innovation, engineered.
Our Brand
The Arconic brand fuses our extraordinary heritage with the promise of an exceptional future. It represents the arc of progress and continued pursuit of advancement for customers, employees, shareholders and communities.","Chemical Engineering , Environmental Engineering , Industrial and Systems Engineering , Material Science , Mechanical Engineering ",Internship
Arista Networks,"Bachelors, Masters, PhD","Arista Networks was founded to pioneer and deliver software-driven cloud networking solutions for large data center storage and computing environments. Arista's award-winning platforms, ranging in Ethernet speeds from 10 to 100 gigabits per second, redefine scalability, agility and resilience. Arista has shipped more than 10 million cloud networking ports worldwide with CloudVision and EOS, an advanced network operating system. Committed to open standards, Arista is a founding member of the 25/50GbE consortium. Arista Networks products are available worldwide directly and through partners.","Computer Engineering & Computer Science , Computer Science , Electrical Engineering ","Full-Time, Internship"
ARM,"Bachelors, Masters, PhD","As the industry's leading supplier of microprocessor technology, ARM provides efficient, low-power chip intelligence making affordable, easy-to-use electronic innovations come to life.","Computer Engineering & Computer Science , Computer Science , Electrical Engineering ","Full-Time, Internship"
